isbn|name|category|writer|publisher|first_pub_date|page_count
9789754587197|Oblomov - Hasan Ali Yücel Klasikleri|Roman|İvan Aleksandroviç Gonçarov|İş Bankası Kültür Yayınları|2006|632
9789750808869|Ses ve Öfke|Roman|William Faulkner|Yapı Kredi Yayınları|2004|304
9789752124547|Cinayet Alfabesi-Tam Metin|Roman|Agatha Christie|Altın Kitaplar|2018|256
9789750826146|Masumiyet Müzesi|Roman|Orhan Pamuk|Yapı Kredi Yayınları|2013|465
9789752104556|Melekler ve Şeytanlar|Roman|Dan Brown|Altın Kitaplar|2004|576
9789752733732|Hobbit|Roman|J.R.R. Tolkien|İthaki Yayınları|2017|333
9786053758211|İşte İnsan|Roman|Michael Moorcock|İthaki Yayınları|2018|172
9789750728273|Veba|Roman|Albert Camus|Can Yayınları|2000|277
9786055162757|Dublörün Dilemması|Roman|Murat Menteş|April Yayıncılık|2016|272
9789750738753|Titan'ın Sirenleri|Roman|Kurt Vonnegut|Can Yayınları|2018|312
9786053758525|İskandinav Mitolojisi|Roman|Neil Gaiman|İthaki Yayınları|2018|312
9789750735639|Anayurt Oteli|Roman|Yusuf Atılgan|Can Yayınları|2017|128
9786059144834|Bir Delinin Hatıra Defteri|Roman|Nikolay Vasilyeviç Gogol|İndigo Kitap|2017|120
9786051715193|Otostopçunun Galaksi Rehberi-5 Kitap Bir Arada|Roman|Douglas Adams|Alfa Yayıncılık|2017|868
9786050904192|Mutluluk|Roman|Zülfü Livaneli|Doğan Kitap|2011|392
9789752104679|16.50 Treni|Roman|Agatha Christie|Altın Kitaplar|2004|288
9789752448308|Abum Rabum|Roman|İskender Pala|Kapı Yayınları|2017|528
9789750524745|Labirent|Roman|Burhan Sönmez|İletişim Yayıncılık|2018|123
9786051850931|Ve Dağlar Yankılandı-Midi Boy|Roman|Khaled Hosseini|Everest Yayınları|2017|480
9789752114074|Mahşer- Sansürsüz Tam Metin|Roman|Stephen King|Altın Kitaplar|2012|1216
9786050955408|Tanık|Roman|Pınar Eğilmez|Doğan Kitap|2018|180
9786052361634|Amok Koşucusu|Roman|Stefan Zweig|İndigo Kitap|2018|80
9789754702095|Tehlikeli Oyunlar|Roman|Oğuz Atay|İletişim Yayıncılık|2000|479
9789752893092|Kabuk Adam|Roman|Aslı Erdoğan|Everest Yayınları|2006|140
9789750812989|Harry Potter ve Ölüm Yadigarları - 7. Kitap|Roman|J. K. Rowling|Yapı Kredi Yayınları|2007|696
9786051980560|Zamanı Durdurmanın Yolları|Roman|Matt Haig|Domingo Yayınevi|2018|328
9786051852621|Dönüş|Roman|Ayşe Kulin|Everest Yayınları|2018|272
9786050956016|Bir Ölüm ve Birkaç Skandal|Roman|French Oje|DEX|2018|208
9789755390444|Karanlığın Sol Eli|Roman|Ursula K. Le Guin|Ayrıntı Yayınları|2013|304
9786051715124|Otostopçunun Galaksi Rehberi|Roman|Douglas Adams|Alfa Yayıncılık|2017|228
9786053321170|İvan İlyiç'in Ölümü - Hasan Ali Yücel Klasikleri|Roman|Lev Nikolayeviç Tolstoy|İş Bankası Kültür Yayınları|2014|100
9789750723322|Ateşten Gömlek|Roman|Halide Edib Adıvar|Can Yayınları|2007|256
9789750525285|Kendi Işığında Yanan Adam|Roman|Ercan Kesal|İletişim Yayıncılık|2018|139
9786050905441|Bir Kedi, Bir Adam, Bir Ölüm|Roman|Zülfü Livaneli|Doğan Kitap|2012|212
9789750726774|Şeker Portakalı - Mini Kitap|Roman|Jose Mauro De Vasconcelos|Can Yayınları|2015|360
9789752895546|Bereketli Topraklar Üzerinde|Roman|Orhan Kemal|Everest Yayınları|2008|380
9789750702938|Dorian Gray'in Portresi|Roman|Oscar Wilde|Can Yayınları|2003|252
9789750803024|Kör Baykuş|Roman|Sadık Hidayet|Yapı Kredi Yayınları|2001|100
9786053757375|Vakıf|Roman|Isaac Asimov|İthaki Yayınları|2017|304
9789750735073|Çelişki|Roman|Barış İnce|Can Yayınları|2017|112
9786050900682|Az|Roman|Hakan Günday|Doğan Kitap|2011|360
9786056840555|Soğuk Deri|Roman|Albert Sanchez Pinol|Jaguar Kitap|2018|232
9786052956267|Dorian Gray'in Portresi|Roman|Oscar Wilde|İş Bankası Kültür Yayınları|2018|272
9789750807190|Teneke|Roman|Yaşar Kemal|Yapı Kredi Yayınları|2003|168
9786054764716|Sırça Fanus|Roman|Sylvia Plath|Kırmızı Kedi|2013|256
9789754052718|Noel'de Cinayet|Roman|Agatha Christie|Altın Kitaplar|1999|175
9789753632607|Çocukluğun Soğuk Geceleri|Roman|Tezer Özlü|Yapı Kredi Yayınları|2000|72
9786053322122|Martin Eden|Roman|Jack London|İş Bankası Kültür Yayınları|2014|520
9786059232234|Schindler' in Listesi|Roman|Thomas Keneally|Ephesus Yayınları|2015|544
9789750803000|Albertine Kayıp|Roman|Marcel Proust|Yapı Kredi Yayınları|2001|288
9789753633383|Don Quijote (2 Cilt Takım)|Roman|Miguel de Cervantes Saavedra|Yapı Kredi Yayınları|2006|910
9786050955385|Havva'nın Cezası|Roman|Nermin Bezmen|Doğan Kitap|2018|216
9786050955033|Beni Bu Kadar Sevme Anne|Roman|Ahmet Naç|Doğan Kitap|2018|192
2789788614049|İmzalı-Kördüğüm-Defter Hediyeli|Roman|Ayşe Kulin|Everest Yayınları|2018|296
